Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Vote Centers_ballots,Vote Centers_votes,Vote Centers_under_votes,Vote Centers_over_votes,Vote by Mail_ballots,Vote by Mail_votes,Vote by Mail_under_votes,Vote by Mail_over_votes,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,1,"DONALD J. TRUMP / JD VANCE",C,1,"REP",903,215,20,0,157,57,0,0,746,158,20,0,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,2,"CLAUDIA DE LA CRUZ / KARINA GARCIA",C,2,"PF",903,2,20,0,157,0,0,0,746,2,20,0,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,3,"KAMALA D. HARRIS / TIM WALZ",C,3,"DEM",903,640,20,0,157,91,0,0,746,549,20,0,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,4,"ROBERT F. KENNEDY JR. / NICOLE SHANAHAN",C,4,"AI",903,9,20,0,157,2,0,0,746,7,20,0,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,5,"CHASE OLIVER / MIKE TER MAAT",C,5,"LIB",903,2,20,0,157,1,0,0,746,1,20,0,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,6,"JILL STEIN / RUDOLPH WARE",C,6,"GRN",903,12,20,0,157,4,0,0,746,8,20,0,
"10001","",1,0,1,1,1683,0.54,1,1,"President and Vice President","",1,317,"PETER SONSKI / LAUREN ONAK",W,8,"",903,1,20,0,157,0,0,0,746,1,20,0,
"10001","",1,0,1,1,1683,0.54,2,2,"United States Senator (Full Term)","",1,9,"STEVE GARVEY",C,9,"REP",903,234,39,1,157,59,6,0,746,175,33,1,
"10001","",1,0,1,1,1683,0.54,2,2,"United States Senator (Full Term)","",1,10,"ADAM B. SCHIFF",C,10,"DEM",903,629,39,1,157,92,6,0,746,537,33,1,
"10001","",1,0,1,1,1683,0.54,3,3,"United States Senator (Partial/Unexpired Term)","",1,7,"STEVE GARVEY",C,11,"REP",903,234,52,0,157,59,10,0,746,175,42,0,
"10001","",1,0,1,1,1683,0.54,3,3,"United States Senator (Partial/Unexpired Term)","",1,8,"ADAM B. SCHIFF",C,12,"DEM",903,617,52,0,157,88,10,0,746,529,42,0,
"10001","",1,0,1,1,1683,0.54,4,4,"U.S. Representative, 15th District","",1,11,"KEVIN MULLIN",C,13,"DEM",903,620,54,0,157,91,11,0,746,529,43,0,
"10001","",1,0,1,1,1683,0.54,4,4,"U.S. Representative, 15th District","",1,12,"ANNA CHENG KRAMER",C,14,"REP",903,229,54,0,157,55,11,0,746,174,43,0,
"10001","",1,0,1,1,1683,0.54,7,7,"State Senator, 13th District","",1,17,"JOSH BECKER",C,19,"DEM",903,614,63,0,157,91,9,0,746,523,54,0,
"10001","",1,0,1,1,1683,0.54,7,7,"State Senator, 13th District","",1,18,"ALEXANDER GLEW",C,20,"REP",903,226,63,0,157,57,9,0,746,169,54,0,
"10001","",1,0,1,1,1683,0.54,9,9,"Member of the State Assembly, 21st District","",1,21,"MARK GILHAM",C,23,"REP",903,234,61,0,157,56,9,0,746,178,52,0,
"10001","",1,0,1,1,1683,0.54,9,9,"Member of the State Assembly, 21st District","",1,22,"DIANE PAPAN",C,24,"DEM",903,608,61,0,157,92,9,0,746,516,52,0,
"10001","",1,0,1,1,1683,0.54,12,12,"County Board of Education Member, Trustee Area 5","",1,27,"MAURICE GOODMAN",C,30,"",903,275,226,0,157,53,37,0,746,222,189,0,
"10001","",1,0,1,1,1683,0.54,12,12,"County Board of Education Member, Trustee Area 5","",1,28,"MIKE O'NEILL",C,31,"",903,401,226,0,157,66,37,0,746,335,189,0,
"10001","",1,0,1,1,1683,0.54,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,78,"DESIREE THAYER",C,101,"",903,403,110,0,157,42,20,0,746,361,90,0,
"10001","",1,0,1,1,1683,0.54,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,79,"NIRMALA BANDRAPALLI",C,102,"",903,243,110,0,157,59,20,0,746,184,90,0,
"10001","",1,0,1,1,1683,0.54,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,80,"HADIA KHOURY",C,103,"",903,49,110,0,157,11,20,0,746,38,90,0,
"10001","",1,0,1,1,1683,0.54,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,81,"RACHEL NI",C,104,"",903,98,110,0,157,25,20,0,746,73,90,0,
"10001","",1,0,1,1,1683,0.54,73,73,"Proposition 2 (Majority Approval Required)","",1,178,"YES",C,244,"",903,504,71,0,157,79,17,0,746,425,54,0,
"10001","",1,0,1,1,1683,0.54,73,73,"Proposition 2 (Majority Approval Required)","",1,179,"NO",C,245,"",903,328,71,0,157,61,17,0,746,267,54,0,
"10001","",1,0,1,1,1683,0.54,74,74,"Proposition 3 (Majority Approval Required)","",1,180,"YES",C,246,"",903,623,76,0,157,99,14,0,746,524,62,0,
"10001","",1,0,1,1,1683,0.54,74,74,"Proposition 3 (Majority Approval Required)","",1,181,"NO",C,247,"",903,204,76,0,157,44,14,0,746,160,62,0,
"10001","",1,0,1,1,1683,0.54,75,75,"Proposition 4 (Majority Approval Required)","",1,182,"YES",C,248,"",903,545,74,0,157,81,17,0,746,464,57,0,
"10001","",1,0,1,1,1683,0.54,75,75,"Proposition 4 (Majority Approval Required)","",1,183,"NO",C,249,"",903,284,74,0,157,59,17,0,746,225,57,0,
"10001","",1,0,1,1,1683,0.54,76,76,"Proposition 5 (Majority Approval Required)","",1,184,"YES",C,250,"",903,371,80,0,157,56,17,0,746,315,63,0,
"10001","",1,0,1,1,1683,0.54,76,76,"Proposition 5 (Majority Approval Required)","",1,185,"NO",C,251,"",903,452,80,0,157,84,17,0,746,368,63,0,
"10001","",1,0,1,1,1683,0.54,77,77,"Proposition 6 (Majority Approval Required)","",1,186,"YES",C,252,"",901,447,94,0,157,65,23,0,744,382,71,0,
"10001","",1,0,1,1,1683,0.54,77,77,"Proposition 6 (Majority Approval Required)","",1,187,"NO",C,253,"",901,360,94,0,157,69,23,0,744,291,71,0,
"10001","",1,0,1,1,1683,0.54,78,78,"Proposition 32 (Majority Approval Required)","",1,188,"YES",C,254,"",901,450,73,0,157,66,20,0,744,384,53,0,
"10001","",1,0,1,1,1683,0.54,78,78,"Proposition 32 (Majority Approval Required)","",1,189,"NO",C,255,"",901,378,73,0,157,71,20,0,744,307,53,0,
